name,localname,link,latitude,longitude,datacenters
Liechtenstein,Principality of Liechtenstein ,liechtenstein,47.166,9.555373,7
New Caledonia,,new-caledonia,-20.904305,165.6180420000001,3
Slovenia,Republika Slovenija,slovenia,46.103709,14.688721,21
Venezuela,República Bolivariana de Venezuela,venezuela,6.42375,-66.58973,6
Mongolia,,mongolia,46.8293023,103.0890283,7
Kuwait,Persian Gulf,kuwait,29.300771,47.686157,5
Albania,Republic of Albania,albania,41.153332,20.168331,4
Tunisia,,tunisia,33.886917,9.537499000000025,4
Rwanda,Republic of Rwanda,rwanda,-2.053880898959149,29.91074345479975,3
Armenia,,armenia,40.6052115,44.7098284,2
Lebanon,Lebanese Republic,lebanon,33.854721,35.862285,2
Namibia,,namibia,-22.6024179,17.025394,2
Suriname,,suriname,3.919305,-56.027783,2
Mozambique,,mozambique,-18.665695,35.529562,6
Ethiopia,,ethiopia,8.622436,39.6082549,5
Uganda,,uganda,1.538539181657284,32.69591590170668,4
Maldives,,maldives,3.180119,73.2141201,3
Zambia,,zambia,-13.8870432,29.5853689,3
Bhutan,,bhutan,27.3963605,90.4639079,2
Burkina Faso,,burkina-faso,12.2823952,-1.7328958,1
Guinea,,guinea,10.7797735,-11.0300404,1
Palestine,State of Palestine,palestine,31.952162,35.233154,1
Brunei,Brunei Darussalam,brunei,4.535277,114.727669,4
French Guiana,Département de la Guyane,french-guiana,3.933889,-53.125782,1
Gabon,,gabon,-0.6035815,11.7989539,1
Mali,,mali,17.3503806,-1.246828,1
Mayotte,,mayotte,-12.820728,45.1339031,1
Martinique,,martinique,14.6649598,-61.020611,1
Uruguay,Oriental Republic of Uruguay,uruguay,-32.522779,-55.765835,10
Libya,Libyan Arab Jamahiriya,libya,27.561527,17.929688,6
Laos,Lao PDR,laos,18.77304324526721,103.44167348125,2
Iran,Iran,iran,31.689535,54.667969,20
Gibraltar,Gibraltar,gibraltar,36.130924,-5.34811,6
Azerbaijan,Az?rbaycan,azerbaijan,40.143105,47.576927,3
Algeria,,algeria,28.033886,1.659626000000003,6
Nicaragua,República de Nicaragua,nicaragua,12.865416,-85.20722899999998,3
Jersey,Bailiwick of Jersey,jersey,49.214439,-2.13125,5
Madagascar,,madagascar,-20.0113629,46.9374812,3
Macau,,macau,22.16515016313018,113.5553741455078,1
Sri Lanka,,sri-lanka,7.873054,80.771797,2
Senegal,,senegal,14.4303084,-14.4530742,7
Botswana,,botswana,-22.328474,24.684866,5
Trinidad and Tobago,,trinidad-and-tobago,10.691803,-61.22250300000002,4
Afghanistan,,afghanistan,33.93911,67.70995300000004,2
Monaco,,monaco,43.7384,7.4246,3
Cameroon,République du Cameroun,cameroon,7.369721999999999,12.354722,2
Andorra,,andorra,42.5418518,1.5757107,3
Curacao,Curaçao,curacao,12.16957,-68.99002,3
Zimbabwe,Republic of Zimbabwe,zimbabwe,-19.0145618213067,29.68014575000007,3
Bermuda,,bermuda,32.3078,-64.75049999999999,2
Cayman Islands,,cayman-islands,19.3133,-81.25459999999998,2
French Polynesia,Polynésie française,french-polynesia,-17.679742,-149.406843,2
Greenland,Grønland,greenland,75.218713,-41.132813,2
Togo,,togo,8.7532887,1.0296154,2
Equatorial Guinea,,equatorial-guinea,1.6115655,10.5245571,1
Eswatini,,eswatini,-26.5632756,31.4974921,1
Jamaica,,jamaica,18.1559528,-77.3117665,1
Kosovo,Republic of Kosovo,kosovo,42.6026359,20.90297699999996,1
Solomon Islands,,solomon-islands,-8.9233321,159.6476322,1
Sudan,,sudan,13.8260997,30.0440546,1
Guernsey,Bailiwick of Guernsey,guernsey,49.45289,-2.576981,3
Lesotho,,lesotho,-29.5817873,28.2455656,2
Guyana,,guyana,5.6221001,-58.9745476,1
Seychelles,,seychelles,-4.4612912,55.5933476,1
Somalia,,somalia,5.8234137,47.3219541,1
US Virgin Islands,Virgin Islands of the United States,us-virgin-islands,18.04664422528246,-64.87152099609375,1
